Number of Threads,Average Time (seconds)
1,3.2811169147491457
2,2.30503625869751
3,2.167703557014465
4,2.15562219619751
5,2.163922095298767
6,2.1712387084960936
7,2.1806906938552855
8,2.151498579978943
9,2.1824907541275023
10,2.1953396081924437
